Date,Open,High,Low,Close,Volume
02/20/2025,"709.60","723.20","707.50","709.90","665,740"
02/19/2025,"713.50","721.00","709.90","717.50","683,919"
02/18/2025,"727.90","730.70","714.80","716.20","678,430"
02/17/2025,"726.00","730.30","718.60","727.80","445,320"
02/14/2025,"740.20","744.90","729.30","732.20","759,158"
02/13/2025,"728.00","738.50","718.90","737.90","775,991"
02/12/2025,"724.10","725.80","707.60","718.40","699,310"
02/11/2025,"716.20","726.70","715.60","723.60","560,372"
02/10/2025,"708.40","719.30","706.30","717.00","705,973"
02/07/2025,"714.30","716.30","701.10","703.00","676,631"
02/06/2025,"710.00","715.30","705.40","715.30","730,446"
02/05/2025,"702.40","709.10","693.60","706.10","589,980"
02/04/2025,"712.80","717.10","702.70","712.40","673,080"
02/03/2025,"695.00","711.70","691.60","709.90","1,009,983"
01/31/2025,"713.00","729.80","712.30","722.70","938,233"
01/30/2025,"695.30","716.50","688.10","706.70","1,215,506"
01/29/2025,"715.00","722.10","680.90","682.50","1,619,804"
01/28/2025,"659.70","659.80","638.50","646.60","1,246,359"
01/27/2025,"647.00","657.80","618.50","651.60","2,074,064"
01/24/2025,"712.30","723.40","698.60","700.70","815,267"
01/23/2025,"728.00","734.40","707.30","715.30","976,826"
01/22/2025,"738.30","752.90","734.00","748.10","712,118"
01/21/2025,"746.70","749.80","727.50","732.40","612,520"
01/20/2025,"742.70","748.50","735.00","748.00","434,335"
01/17/2025,"734.60","749.30","730.80","739.10","942,715"
01/16/2025,"740.00","747.40","729.10","745.40","968,229"
01/15/2025,"706.50","721.50","705.50","712.70","855,094"
01/14/2025,"714.50","726.80","707.10","712.70","711,884"
01/13/2025,"714.70","716.20","699.20","711.50","589,104"
01/10/2025,"730.20","734.30","717.90","725.30","607,599"
01/09/2025,"717.40","733.90","713.10","733.90","385,785"
01/08/2025,"738.90","744.40","718.20","724.30","569,713"
01/07/2025,"746.90","751.90","730.40","738.40","836,999"
01/06/2025,"703.80","748.00","701.60","747.80","1,120,484"
01/03/2025,"690.00","691.40","677.50","688.00","442,214"
01/02/2025,"675.00","691.10","670.70","690.00","446,335"
12/31/2024,"668.40","679.30","668.40","678.70","166,093"
12/30/2024,"684.90","685.00","668.50","671.90","433,466"
12/27/2024,"681.10","695.60","680.00","684.90","532,668"
12/24/2024,"690.10","690.80","685.70","688.50","116,531"
12/23/2024,"680.40","689.70","678.30","683.80","527,957"
12/20/2024,"683.80","686.90","669.20","686.10","1,459,747"
12/19/2024,"697.90","700.80","685.40","690.80","962,825"
12/18/2024,"706.20","722.00","702.40","717.30","844,527"
12/17/2024,"684.00","713.90","684.00","703.40","1,079,398"
12/16/2024,"683.50","691.30","680.20","688.00","732,844"
12/13/2024,"682.00","691.10","681.70","687.70","761,756"
12/12/2024,"679.20","686.10","674.20","683.30","526,406"
12/11/2024,"672.00","682.10","670.80","678.30","515,977"
12/10/2024,"672.60","682.60","668.90","670.30","608,574"
12/09/2024,"677.50","683.60","668.30","675.00","588,633"
12/06/2024,"675.20","678.60","670.30","677.60","519,724"
12/05/2024,"681.30","693.10","670.70","679.20","774,846"
12/04/2024,"680.00","690.90","674.20","683.50","740,826"
12/03/2024,"671.90","683.40","662.20","677.90","830,912"
12/02/2024,"649.40","664.10","643.90","664.10","681,019"
11/29/2024,"641.60","663.00","638.50","658.40","852,351"
11/28/2024,"662.00","662.40","639.20","642.90","581,311"
11/27/2024,"635.80","641.80","625.30","627.70","441,708"
11/26/2024,"649.70","650.70","638.80","640.00","530,129"
11/25/2024,"648.60","659.20","644.70","652.00","1,138,869"
11/22/2024,"641.30","647.30","632.60","642.10","686,726"
11/21/2024,"613.40","632.40","605.70","631.50","745,654"
11/20/2024,"633.20","633.20","613.20","616.50","548,116"
11/19/2024,"634.90","636.30","618.80","624.70","626,017"
11/18/2024,"630.00","632.60","613.20","629.60","696,044"
11/15/2024,"657.40","661.80","635.00","635.00","1,145,914"
11/14/2024,"653.00","672.40","638.70","671.60","1,320,906"
11/13/2024,"625.40","629.50","619.10","627.70","717,996"
11/12/2024,"624.80","643.00","623.10","630.30","709,924"
11/11/2024,"634.00","635.00","622.30","627.30","542,999"
11/08/2024,"630.00","637.20","613.90","621.50","636,754"
11/07/2024,"611.20","628.90","605.70","624.70","720,778"
11/06/2024,"624.00","635.20","610.00","610.80","791,766"
11/05/2024,"616.20","625.80","612.90","624.00","439,737"
11/04/2024,"626.90","628.60","616.50","618.20","435,317"
11/01/2024,"620.00","628.50","616.60","627.10","619,349"
10/31/2024,"630.00","633.40","614.60","621.20","868,544"
10/30/2024,"653.80","659.50","634.00","634.00","888,147"
10/29/2024,"655.50","659.90","652.50","655.20","445,808"
10/28/2024,"667.70","667.80","650.90","655.50","564,123"
10/25/2024,"659.60","668.10","653.50","664.10","553,318"
10/24/2024,"665.40","669.70","659.20","661.30","543,282"
10/23/2024,"666.80","672.50","655.30","658.80","614,372"
10/22/2024,"663.20","679.30","660.60","666.80","805,759"
10/21/2024,"673.20","675.90","655.80","657.60","714,227"
10/18/2024,"643.30","668.80","639.90","664.50","1,326,510"
10/17/2024,"636.80","642.90","624.80","634.20","1,590,232"
10/16/2024,"641.40","658.20","629.50","633.90","2,201,941"
10/15/2024,"795.70","804.60","665.00","668.10","2,204,929"
10/14/2024,"772.00","796.60","769.50","792.00","538,932"
10/11/2024,"768.00","772.20","755.70","770.70","409,738"
10/10/2024,"770.00","770.10","750.80","762.60","456,604"
10/09/2024,"751.00","767.50","744.80","767.50","436,981"
10/08/2024,"740.10","756.80","736.80","752.10","439,895"
10/07/2024,"757.00","759.00","733.30","747.60","545,578"
10/04/2024,"752.20","770.60","747.40","757.50","495,298"
10/03/2024,"754.00","759.40","745.30","755.10","417,685"
10/02/2024,"744.40","758.00","739.30","757.40","465,920"
10/01/2024,"754.00","762.80","732.90","741.80","626,233"
09/30/2024,"753.20","759.70","745.50","745.60","776,566"
09/27/2024,"770.00","770.10","753.20","757.30","776,015"
09/26/2024,"772.00","773.40","752.20","759.80","896,153"
09/25/2024,"726.00","740.20","725.40","735.00","441,515"
09/24/2024,"734.90","736.90","718.50","727.60","474,072"
09/23/2024,"720.00","730.50","711.00","718.30","493,855"
09/20/2024,"734.00","739.70","708.60","716.70","2,547,445"
09/19/2024,"721.00","750.00","719.30","747.90","709,115"
09/18/2024,"724.30","724.30","710.10","715.00","635,339"
09/17/2024,"718.50","729.90","715.40","726.00","494,319"
09/16/2024,"733.70","737.20","714.60","719.90","440,629"
09/13/2024,"725.00","735.50","722.40","734.00","496,764"
09/12/2024,"726.20","730.90","719.80","722.40","819,829"
09/11/2024,"682.00","705.00","679.10","698.10","818,521"
09/10/2024,"683.40","683.60","671.00","672.50","653,475"
09/09/2024,"696.70","701.70","668.70","676.50","767,948"
09/06/2024,"715.40","723.10","678.70","681.00","1,113,759"
09/05/2024,"730.80","735.20","713.80","720.00","698,249"
09/04/2024,"732.20","748.20","723.40","736.40","1,185,615"
09/03/2024,"814.10","818.90","779.10","782.80","514,171"
09/02/2024,"810.30","819.70","802.50","818.70","182,640"
08/30/2024,"807.60","818.90","805.90","812.00","641,364"
08/29/2024,"797.00","823.90","794.00","823.00","559,815"
08/28/2024,"800.00","807.60","795.30","799.40","389,155"
08/27/2024,"791.90","799.50","784.30","794.20","436,447"
08/26/2024,"811.50","814.60","791.20","797.00","377,665"
08/23/2024,"820.90","828.10","810.80","818.80","540,922"
08/22/2024,"845.40","848.00","832.40","833.00","317,571"
08/21/2024,"835.20","846.70","832.50","843.30","332,581"
08/20/2024,"845.10","854.70","828.20","832.60","390,916"
08/19/2024,"826.40","836.90","823.60","829.40","353,441"
08/16/2024,"840.00","841.60","825.00","832.50","443,019"
08/15/2024,"802.60","833.00","800.50","832.00","500,366"
08/14/2024,"795.00","807.90","788.00","799.30","448,328"
08/13/2024,"795.00","795.00","781.70","789.50","455,306"
08/12/2024,"788.30","793.70","781.20","784.60","403,033"
08/09/2024,"809.40","809.70","777.00","784.00","612,174"
08/08/2024,"777.70","797.20","771.40","794.30","595,077"
08/07/2024,"783.90","805.00","777.10","796.00","948,049"
08/06/2024,"777.40","784.20","758.20","780.10","1,179,917"
08/05/2024,"680.00","749.90","657.00","746.00","1,518,118"
08/02/2024,"775.00","790.25","728.60","737.10","1,713,472"
08/01/2024,"867.00","867.40","827.30","829.90","648,403"
07/31/2024,"895.00","895.50","845.50","850.50","1,105,524"
07/30/2024,"830.50","831.00","804.00","805.70","547,232"
07/29/2024,"826.40","832.40","805.30","806.30","492,204"
07/26/2024,"795.10","830.60","795.10","820.50","790,645"
07/25/2024,"805.30","817.90","784.70","799.60","998,743"
07/24/2024,"856.10","860.10","828.60","831.60","601,576"
07/23/2024,"858.80","870.60","847.80","860.90","561,522"
07/22/2024,"828.50","859.80","823.60","850.50","685,837"
07/19/2024,"848.00","857.00","829.50","829.50","1,044,177"
07/18/2024,"873.80","879.60","835.60","838.50","1,069,933"
07/17/2024,"946.00","946.00","865.00","870.90","1,400,700"
07/16/2024,"987.00","991.70","974.80","977.80","466,608"
07/15/2024,"998.50","1,014.20","989.20","989.20","461,973"
07/12/2024,"981.10","1,008.80","973.00","1,002.20","552,726"
07/11/2024,"1,010.40","1,021.80","987.90","989.10","470,171"
07/10/2024,"986.90","1,002.00","977.90","1,002.00","357,082"
07/09/2024,"996.30","999.40","982.70","982.70","431,994"
07/08/2024,"998.00","1,010.80","993.00","997.90","432,188"
07/05/2024,"992.80","999.50","988.10","993.00","315,286"
07/04/2024,"989.10","993.00","980.50","984.20","197,960"
07/03/2024,"975.00","993.50","973.40","985.80","494,730"
07/02/2024,"959.00","968.50","949.20","965.90","355,717"
07/01/2024,"971.80","972.80","947.30","954.30","349,534"
06/28/2024,"969.40","979.90","960.80","964.20","507,661"
06/27/2024,"951.00","971.40","950.20","960.00","341,799"
06/26/2024,"958.90","964.10","942.60","946.60","419,672"
06/25/2024,"930.00","951.10","921.10","950.20","455,077"
06/24/2024,"963.00","967.40","942.10","948.50","504,340"
06/21/2024,"983.40","984.00","957.00","963.40","1,168,876"
06/20/2024,"972.50","989.30","971.20","988.90","521,044"
06/19/2024,"981.80","985.70","965.40","966.50","314,222"
06/18/2024,"977.80","985.30","969.00","983.80","483,986"
06/17/2024,"964.40","980.20","961.80","969.40","452,520"
06/14/2024,"977.70","981.30","950.70","953.00","698,205"
06/13/2024,"982.90","992.80","965.00","966.50","572,537"
06/12/2024,"961.90","993.60","958.55","985.60","490,161"
06/11/2024,"966.30","969.60","950.80","959.20","432,167"
06/10/2024,"958.00","963.90","942.40","963.40","444,357"
06/07/2024,"963.70","970.30","950.20","958.90","458,224"
06/06/2024,"965.10","972.00","948.70","957.50","610,760"
06/05/2024,"883.00","944.10","878.50","943.60","792,315"
06/04/2024,"884.90","887.10","872.80","872.90","328,135"
06/03/2024,"885.00","896.50","874.90","880.50","359,176"
05/31/2024,"884.00","901.90","870.00","870.80","1,325,837"
05/30/2024,"883.40","889.70","877.90","881.00","277,618"
05/29/2024,"903.10","905.60","882.10","888.50","469,059"
05/28/2024,"886.20","898.40","884.30","896.00","399,600"
05/27/2024,"882.30","884.00","874.90","882.60","168,545"
05/24/2024,"866.00","881.90","860.50","880.50","393,663"
05/23/2024,"868.20","892.20","868.00","876.40","574,762"
05/22/2024,"857.00","861.80","852.00","854.10","270,000"
05/21/2024,"864.30","864.30","843.30","853.70","327,438"
05/20/2024,"849.70","864.70","846.50","864.70","209,691"
05/17/2024,"846.10","856.70","842.50","853.00","492,332"
05/16/2024,"864.00","866.60","858.90","859.10","387,981"
05/15/2024,"847.50","852.70","840.20","851.00","386,501"
05/14/2024,"853.10","853.40","837.20","840.70","407,049"
05/13/2024,"869.60","870.20","846.80","853.00","327,567"
05/10/2024,"850.90","870.80","848.50","864.50","433,877"
05/09/2024,"846.10","852.50","843.80","847.90","331,311"
05/08/2024,"847.00","853.50","840.20","845.00","368,284"
05/07/2024,"851.30","859.70","843.60","854.20","417,265"
05/06/2024,"841.00","847.70","832.60","846.60","210,766"
05/03/2024,"817.00","836.80","815.80","835.90","434,464"
05/02/2024,"807.80","822.60","804.00","811.40","624,535"
04/30/2024,"850.90","852.30","832.60","832.70","510,511"
04/29/2024,"859.00","859.80","842.80","847.70","326,342"
04/26/2024,"845.00","862.50","841.80","858.80","498,526"
04/25/2024,"829.30","840.30","815.20","833.70","515,076"
04/24/2024,"860.00","860.00","833.10","834.80","477,145"
04/23/2024,"823.20","836.00","820.30","834.30","389,817"
04/22/2024,"821.00","825.60","810.00","813.20","526,653"
04/19/2024,"830.50","841.30","818.20","821.00","834,780"
04/18/2024,"870.00","871.50","832.20","840.30","762,238"
04/17/2024,"858.60","891.10","845.50","852.40","1,271,289"
04/16/2024,"898.60","914.30","891.00","913.40","527,766"
04/15/2024,"914.60","930.80","907.20","910.90","606,551"
04/12/2024,"925.00","934.40","899.80","907.50","509,980"
04/11/2024,"906.50","918.40","898.30","909.10","366,552"
04/10/2024,"913.40","918.40","888.10","913.30","437,885"
04/09/2024,"913.70","919.40","892.80","899.30","383,216"
04/08/2024,"899.10","918.00","899.00","913.70","307,245"
04/05/2024,"887.00","910.70","884.30","905.70","475,214"
04/04/2024,"908.00","916.70","898.10","901.30","413,590"
04/03/2024,"894.70","905.00","889.60","905.00","389,366"
04/02/2024,"917.80","918.90","890.40","890.70","590,869"
03/28/2024,"898.10","902.90","890.30","892.20","532,794"
03/27/2024,"900.50","905.60","891.10","895.20","381,771"
03/26/2024,"906.80","914.50","900.40","900.40","437,821"
03/25/2024,"905.90","915.60","901.20","913.00","358,516"
03/22/2024,"912.50","914.30","891.10","906.10","471,160"
03/21/2024,"911.00","923.80","906.50","923.30","657,108"
03/20/2024,"876.00","888.90","868.40","874.50","336,510"
03/19/2024,"865.00","870.70","855.10","869.60","362,603"
03/18/2024,"868.00","880.00","861.50","870.80","474,446"
03/15/2024,"880.20","882.70","857.70","857.70","2,713,321"
03/14/2024,"887.10","890.40","877.20","881.00","587,839"
03/13/2024,"902.20","905.50","878.20","878.90","534,861"
03/12/2024,"885.40","894.30","871.80","892.30","600,454"
03/11/2024,"900.00","911.40","880.00","884.50","713,102"
03/08/2024,"954.50","958.40","923.40","923.40","576,094"
03/07/2024,"915.00","949.60","908.60","949.20","602,723"
03/06/2024,"903.00","914.60","898.50","912.20","481,039"
03/05/2024,"911.00","916.60","894.00","899.50","480,872"
03/04/2024,"910.00","918.80","905.40","913.20","524,208"
03/01/2024,"881.00","894.40","873.40","894.00","456,792"
02/29/2024,"871.40","873.70","858.10","870.50","729,779"
02/28/2024,"871.00","877.00","863.40","869.40","357,552"
02/27/2024,"878.10","885.50","870.50","879.20","371,102"
02/26/2024,"860.10","872.90","858.60","869.80","286,040"
